FY18/19 - CONDOMINIUM COMPARABLE PROPERTIES as of 01/05/2018  prepared on 02/01/2018,,,,,,,,,,,,,,,COMPARABLE RENTAL - 1,,,,,,,,,,,,,,,COMPARABLE RENTAL - 2,,,,,,,,,,,,,,,COMPARABLE RENTAL - 3,,,,,,,,,,,,,,
Boro-Block-Lot,Condominium,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles
1-01988-7502,1565-R1,504 WEST 136 STREET,HARLEM-WEST,R4  -ELEVATOR,29,2006,"31,308","815,260",26.04,"269,562",8.61,"545,698","4,234,996",135.27,1-02070-0043,518 WEST 139 STREET,HARLEM-WEST,D1  -ELEVATOR,42,1910,"42,588","1,068,959",25.1,"304,930",7.16,"764,029","1,708,000",40.11,0.15,1-02002-0011,629 WEST 135 STREET,HARLEM-WEST,D1  -ELEVATOR,30,1930,"34,074","887,287",26.04,"293,377",8.61,"593,910","2,081,000",61.07,0.16,1-02002-0055,612 WEST 137 STREET,HARLEM-WEST,D1  -ELEVATOR,48,1905,"27,810","861,276",30.97,"335,667",12.07,"525,609","3,282,000",118.02,0.16
1-00716-7502,1566-R1,452 WEST 19 STREET,CHELSEA,R4  -ELEVATOR,20,1920,"22,920","1,081,366",47.18,"298,877",13.04,"782,489","6,298,001",274.78,1-00716-0055,434 WEST 19 STREET,CHELSEA,D1  -ELEVATOR,40,1986,"21,000","1,092,420",52.02,"433,860",20.66,"658,560","6,275,000",298.81,0,1-00719-0020,433 WEST 21 STREET,CHELSEA,D1  -ELEVATOR,69,1930,"63,956","3,017,444",47.18,"833,986",13.04,"2,183,458","14,716,000",230.1,0.14,1-00745-0026,313 WEST 21 STREET,CHELSEA,D1  -ELEVATOR,35,1938,"20,496","880,918",42.98,"258,045",12.59,"622,873","4,274,000",208.53,0.22
1-01146-7504,1567-R1,311 AMSTERDAM AVENUE,UPPER WEST SIDE (59-79),R4  -ELEVATOR,8,1900,"13,182","539,539",40.93,"141,179",10.71,"398,360","3,206,003",243.21,1-01146-0017,129 WEST 74 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,23,1910,"15,120","618,862",40.93,"161,935",10.71,"456,927","2,375,000",157.08,0,1-01143-0020,133 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,36,1928,"30,712","1,250,286",40.71,"251,838",8.2,"998,448","7,329,000",238.64,0.16,1-01143-0027,115 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,38,1913,"36,364","1,488,742",40.94,"346,549",9.53,"1,142,193","7,878,000",216.64,0.16
1-00345-7501,1569-R1,154 ATTORNEY STREET,LOWER EAST SIDE,R4  -ELEVATOR,41,2004,"39,643","1,597,613",40.3,"562,534",14.19,"1,035,079","8,325,004",210,1-00345-0020,155 RIDGE STREET,LOWER EAST SIDE,D1  -ELEVATOR,56,1940,"35,045","1,332,060",38.01,"473,458",13.51,"858,602","5,595,000",159.65,0,1-00344-0044,120 RIDGE STREET,LOWER EAST SIDE,D1  -ELEVATOR,22,2001,"14,960","602,888",40.3,"212,282",14.19,"390,606","4,552,000",304.28,0.1,1-00343-0067,53 PITT STREET,LOWER EAST SIDE,D1  -ELEVATOR,14,1900,"14,938","613,205",41.05,"222,875",14.92,"390,330","3,527,000",236.11,0.18
1-01681-7501,1573-R1,2132 2 AVENUE,HARLEM-EAST,R4  -ELEVATOR,31,2006,"32,483","1,428,278",43.97,"243,947",7.51,"1,184,331","9,533,014",293.48,1-01680-0011,315 EAST 108 STREET,HARLEM-EAST,D1  -ELEVATOR,48,1920,"22,596","993,546",43.97,"169,696",7.51,"823,850","4,903,000",216.99,0.05,1-01680-0019,331 EAST 108 STREET,HARLEM-EAST,D1  -ELEVATOR,29,1900,"22,596","974,340",43.12,"163,143",7.22,"811,197","3,168,000",140.2,0.05,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3  -ELEVATOR,48,2002,"52,520","2,325,586",44.28,"470,579",8.96,"1,855,007","4,413,000",84.03,0.25
1-00411-7503,1576-R1,133 ESSEX STREET,LOWER EAST SIDE,R4  -ELEVATOR,16,1900,"14,130","752,423",53.25,"218,167",15.44,"534,256","4,300,002",304.32,1-00354-0020,153 NORFOLK STREET,LOWER EAST SIDE,D1  -ELEVATOR,50,1912,"22,500","1,206,900",53.64,"363,600",16.16,"843,300","6,788,000",301.69,0.05,1-00344-0044,120 RIDGE STREET,LOWER EAST SIDE,D1  -ELEVATOR,22,2001,"14,960","796,620",53.25,"230,982",15.44,"565,638","4,552,000",304.28,0.28,1-00343-0067,53 PITT STREET,LOWER EAST SIDE,D1  -ELEVATOR,14,1900,"14,938","673,554",45.09,"235,274",15.75,"438,280","3,527,000",236.11,0.29
1-01727-7501,1578-R1,380 LENOX AVENUE,HARLEM-CENTRAL,R4  -ELEVATOR,77,2005,"131,237","3,521,089",26.83,"1,555,158",11.85,"1,965,931","15,317,997",116.72,1-01990-0040,468 RIVERSIDE DRIVE,MORNINGSIDE HEIGHTS,D3  -ELEVATOR,38,1910,"67,518","1,706,855",25.28,"631,293",9.35,"1,075,562","10,865,000",160.92,1.2,1-01205-0029,315 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,43,1911,"109,769","2,945,102",26.83,"1,300,763",11.85,"1,644,339","13,863,000",126.29,1.99,1-01199-0029,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,68,1925,"128,194","3,486,877",27.2,"1,406,288",10.97,"2,080,589","27,826,000",217.06,2.29
1-00594-7505,1585-R1,255 HUDSON STREET,SOHO,R4  -ELEVATOR,64,2005,"94,226","4,655,707",49.41,"1,282,416",13.61,"3,373,291","27,150,998",288.15,1-00504-0031,112 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,906,286",49.03,"489,888",12.6,"1,416,398","10,280,000",264.4,0.27,1-00504-0036,100 SULLIVAN STREET,SOHO,D1  -ELEVATOR,70,1920,"33,750","1,698,975",50.34,"369,563",10.95,"1,329,412","11,596,000",343.59,0.27,1-00520-0051,37 KING STREET,SOHO,D9  -ELEVATOR,40,1937,"20,035","989,929",49.41,"272,676",13.61,"717,253","2,863,000",142.9,0.3
1-01544-7501,1586-R1,350 EAST 82 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,148,1998,"213,419","11,407,246",53.45,"3,568,366",16.72,"7,838,880","63,095,007",295.64,1-01542-0012,321 EAST 79 STREET,UPPER EAST SIDE (79-96),D9  -ELEVATOR,19,1930,"10,920","583,674",53.45,"182,582",16.72,"401,092","2,522,000",230.95,0.1,1-01527-0009,219 EAST 81 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,53,1972,"36,720","1,869,782",50.92,"590,458",16.08,"1,279,324","8,842,000",240.8,0.14,1-01561-0009,411 EAST 81 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,20,1960,"9,000","482,850",53.65,"129,870",14.43,"352,980","2,323,000",258.11,0.14
1-01882-7502,1588-R1,545 CATHEDRAL PARKWAY,UPPER WEST SIDE (96-116),R4  -ELEVATOR,55,2005,"79,805","3,395,703",42.55,"775,705",9.72,"2,619,998","21,087,999",264.24,1-01882-0042,518 WEST 111 STREET,UPPER WEST SIDE (96-116),D1  -ELEVATOR,32,1925,"43,002","1,757,922",40.88,"473,452",11.01,"1,284,470","3,390,000",78.83,0,1-01882-0020,515 CATHEDRAL PARKWAY,UPPER WEST SIDE (96-116),D3  -ELEVATOR,83,1909,"83,471","3,551,691",42.55,"811,338",9.72,"2,740,353","15,499,000",185.68,0,1-01883-0014,529 WEST 111 STREET,UPPER WEST SIDE (96-116),D1  -ELEVATOR,37,1920,"43,540","1,872,655",43.01,"534,671",12.28,"1,337,984","4,363,000",100.21,0.05
1-00028-7501,1590-R1,82 BEAVER STREET,FINANCIAL,R4  -ELEVATOR,126,1987,"96,902","4,662,924",48.12,"1,398,296",14.43,"3,264,628","26,277,004",271.17,1-00027-0009,63 WALL STREET,FINANCIAL,D5  -ELEVATOR,482,1929,"400,531","20,763,527",51.84,"7,265,632",18.14,"13,497,895","108,627,000",271.21,0.03,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8  -ELEVATOR,61,1929,"57,941","2,788,121",48.12,"836,089",14.43,"1,952,032","15,707,000",271.09,0.36,1-00126-0013,53 PARK PLACE,CIVIC CENTER,D5  -ELEVATOR,119,1921,"138,600","6,095,628",43.98,"1,853,082",13.37,"4,242,546","34,145,000",246.36,0.61
1-01345-7501,1594-R1,310 EAST 53 STREET,MIDTOWN EAST,R4  -ELEVATOR,84,2006,"166,692","7,201,094",43.2,"1,091,833",6.55,"6,109,261","49,173,012",294.99,1-01418-0045,1081 3 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,116,1968,"215,465","8,775,889",40.73,"2,781,653",12.91,"5,994,236","46,281,000",214.8,0.56,1-01422-0021,1283 2 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,181,1973,"348,130","15,697,182",45.09,"4,661,461",13.39,"11,035,721","75,626,000",217.23,0.75,1-01401-0033,1130 3 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,158,1957,"286,755","12,387,816",43.2,"1,878,245",6.55,"10,509,571","89,472,000",312.02,0.73
1-00794-7501,1596-R1,130 WEST 19 STREET,CHELSEA,R4  -ELEVATOR,64,2005,"118,000","4,999,660",42.37,"464,920",3.94,"4,534,740","36,500,021",309.32,1-00174-0023,81 FRANKLIN STREET,CIVIC CENTER,D7  -ELEVATOR,12,1915,"25,738","1,090,519",42.37,"101,408",3.94,"989,111","9,182,000",356.75,1.65,1-00477-0001,80 VARICK STREET,SOHO,D5  -ELEVATOR,61,1920,"125,235","5,302,450",42.34,"955,543",7.63,"4,346,907","17,185,000",137.22,1.28,1-00149-0012,97 CHAMBERS STREET,CIVIC CENTER,D7  -ELEVATOR,17,1885,"43,338","2,173,401",50.15,"378,774",8.74,"1,794,627","9,778,000",225.62,1.86
1-00144-7502,1597-R1,36 HUDSON STREET,TRIBECA,R4  -ELEVATOR,12,1910,"27,928","1,257,039",45.01,"355,244",12.72,"901,795","7,257,999",259.88,1-00150-0012,78 READE STREET,CIVIC CENTER,D5  -ELEVATOR,14,1930,"21,000","942,480",44.88,"275,100",13.1,"667,380","4,979,000",237.1,0.16,1-00552-0010,82 WEST WASHINGTON PLACE,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,35,1900,"27,108","1,223,384",45.13,"334,513",12.34,"888,871","6,713,000",247.64,1.09, , , , , , , , , , , , , , , 
1-01270-7501,1599-R1,40 WEST 55 STREET,MIDTOWN WEST,R4  -ELEVATOR,35,1925,"44,350","1,950,957",43.99,"739,315",16.67,"1,211,642","9,751,993",219.89,1-01045-0054,350 WEST 55 STREET,MIDTOWN WEST,D3  -ELEVATOR,126,1912,"75,926","3,727,967",49.1,"1,375,020",18.11,"2,352,947","17,664,000",232.65,0.52,1-01046-0043,318 WEST 56 STREET,MIDTOWN WEST,D3  -ELEVATOR,68,1961,"54,400","2,393,056",43.99,"906,848",16.67,"1,486,208","9,155,000",168.29,0.52,1-01379-0066,4 EAST 65 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,20,1915,"22,344","788,743",35.3,"301,197",13.48,"487,546","5,284,000",236.48,0.52
1-00274-7503,1603-R1,44 MARKET STREET,LOWER EAST SIDE,R4  -ELEVATOR,16,2004,"9,744","479,015",49.16,"133,883",13.74,"345,132","2,777,999",285.1,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","514,552",47.71,"134,813",12.5,"379,739","2,279,000",211.31,0,1-00343-0067,53 PITT STREET,LOWER EAST SIDE,D1  -ELEVATOR,14,1900,"14,938","761,240",50.96,"239,157",16.01,"522,083","3,527,000",236.11,0.66,1-00354-0020,153 NORFOLK STREET,LOWER EAST SIDE,D1  -ELEVATOR,50,1912,"22,500","1,106,100",49.16,"309,150",13.74,"796,950","6,788,000",301.69,0.66
1-00091-7501,1605-R1,119 FULTON STREET,SOUTHBRIDGE,R4  -ELEVATOR,19,1919,"28,150","1,299,967",46.18,"426,754",15.16,"873,213","7,027,998",249.66,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","459,441",42.6,"125,537",11.64,"333,904","2,279,000",211.31,0.71,1-00276-0022,53 MARKET STREET,LOWER EAST SIDE,C1  -WALK-UP,15,1921,"10,345","477,732",46.18,"156,830",15.16,"320,902","886,000",85.65,0.6,1-00274-0003,51 MONROE STREET,LOWER EAST SIDE,C4  -WALK-UP,20,1900,"9,910","499,662",50.42,"132,992",13.42,"366,670","1,839,000",185.57,0.71
1-01125-7502,1607-R1,27 WEST 72 STREET,UPPER WEST SIDE (59-79),R4  -ELEVATOR,158,1924,"234,905","12,384,192",52.72,"3,777,272",16.08,"8,606,920","69,276,996",294.91,1-01126-0038,10 WEST 74 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,86,1941,"71,890","3,919,443",54.52,"1,122,203",15.61,"2,797,240","26,430,000",367.65,0.05,1-01126-0026,9 WEST 73 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,12,1900,"8,303","435,908",52.5,"120,643",14.53,"315,265","2,281,000",274.72,0.05,1-01124-0057,44 WEST 72 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,39,1927,"18,600","980,592",52.72,"299,088",16.08,"681,504","2,914,000",156.67,0.06
1-01253-7503,1608-R1,230 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),R4  -ELEVATOR,259,1931,"208,241","8,440,008",40.53,"2,946,610",14.15,"5,493,398","44,216,011",212.33,1-01253-0048,227 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3  -ELEVATOR,39,1930,"48,178","1,952,654",40.53,"681,719",14.15,"1,270,935","7,760,000",161.07,0.05,1-01253-0007,321 WEST 94 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,30,1930,"30,960","1,284,840",41.5,"501,552",16.2,"783,288","4,792,000",154.78,0.05,1-01253-0045,336 WEST 95 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,24,1940,"41,000","1,656,810",40.41,"602,290",14.69,"1,054,520","6,212,000",151.51,0.05
1-00866-7502,1613-R1,30 EAST 37 STREET,MURRAY HILL,R4  -ELEVATOR,99,1952,"87,697","4,212,964",48.04,"1,030,440",11.75,"3,182,524","25,616,001",292.1,1-00892-0049,156 EAST 37 STREET,MURRAY HILL,D3  -ELEVATOR,39,1924,"41,306","1,984,340",48.04,"485,346",11.75,"1,498,994","7,546,000",182.69,0.19,1-00894-0032,137 EAST 38 STREET,MURRAY HILL,D3  -ELEVATOR,108,1936,"105,000","4,817,400",45.88,"1,282,050",12.21,"3,535,350","18,947,000",180.45,0.22,1-00862-0009,9 EAST 32 STREET,MURRAY HILL,D3  -ELEVATOR,77,1930,"39,740","1,976,270",49.73,"495,558",12.47,"1,480,712","14,395,000",362.23,0.23
1-01319-7502,1614-R1,845 2 AVENUE,MIDTOWN EAST,R4  -ELEVATOR,18,2001,"11,861","569,447",48.01,"155,498",13.11,"413,949","3,332,000",280.92,1-01320-0018,235 EAST 46 STREET,MIDTOWN EAST,D1  -ELEVATOR,63,1938,"49,914","2,404,357",48.17,"809,106",16.21,"1,595,251","10,413,000",208.62,0.05,1-01335-0039,328 EAST 43 STREET,MIDTOWN EAST,D3  -ELEVATOR,62,1928,"48,892","2,337,527",47.81,"700,133",14.32,"1,637,394","7,216,000",147.59,0.19,1-01342-0045,320 EAST 50 STREET,MIDTOWN EAST,D1  -ELEVATOR,36,1960,"23,442","1,125,450",48.01,"307,325",13.11,"818,125","5,857,000",249.85,0.24
1-00595-7504,1616-R1,330 SPRING STREET,SOHO,R4  -ELEVATOR,40,2005,"68,865","3,393,667",49.28,"515,110",7.48,"2,878,557","23,169,001",336.44,1-00477-0001,80 VARICK STREET,SOHO,D5  -ELEVATOR,61,1920,"125,235","6,169,076",49.26,"1,398,875",11.17,"4,770,201","17,185,000",137.22,0.31,1-00174-0023,81 FRANKLIN STREET,CIVIC CENTER,D7  -ELEVATOR,12,1915,"25,738","1,268,369",49.28,"192,520",7.48,"1,075,849","9,182,000",356.75,0.64,1-00016-0221,201 WARREN STREET,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","12,152,573",49.68,"3,250,960",13.29,"8,901,613","62,294,000",254.66,1.05
1-00866-7501,1617-R1,11 EAST 36 STREET,MURRAY HILL,R4  -ELEVATOR,64,1912,"68,026","3,142,801",46.2,"906,787",13.33,"2,236,014","17,998,004",264.58,1-00862-0009,9 EAST 32 STREET,MURRAY HILL,D3  -ELEVATOR,77,1930,"39,740","1,903,149",47.89,"557,950",14.04,"1,345,199","14,395,000",362.23,0.21,1-00892-0049,156 EAST 37 STREET,MURRAY HILL,D3  -ELEVATOR,39,1924,"41,306","1,908,337",46.2,"550,609",13.33,"1,357,728","7,546,000",182.69,0.29,1-00894-0032,137 EAST 38 STREET,MURRAY HILL,D3  -ELEVATOR,108,1936,"105,000","4,624,200",44.04,"1,446,900",13.78,"3,177,300","18,947,000",180.45,0.3
1-00385-7501,1618-R1,254 EAST 2 STREET,ALPHABET CITY,RR  -CONRENT,47,2005,"36,472","2,015,078",55.25,"540,880",14.83,"1,474,198","11,866,000",325.35,1-00398-0022,184 EAST 3 STREET,ALPHABET CITY,D9  -ELEVATOR,47,1920,"21,600","1,190,160",55.1,"309,960",14.35,"880,200","4,558,000",211.02,0.14,1-00399-0044,185 EAST 3 STREET,ALPHABET CITY,D1  -ELEVATOR,43,1950,"35,550","1,964,138",55.25,"527,207",14.83,"1,436,931","7,305,000",205.49,0.15,1-00373-0060,291 EAST 3 STREET,ALPHABET CITY,D5  -ELEVATOR,12,1900,"11,160","626,299",56.12,"173,761",15.57,"452,538","3,393,000",304.03,0.15
1-01042-7502,1626-R1,310 WEST 52 STREET,MIDTOWN WEST,R4  -ELEVATOR,215,2005,"249,339","14,117,574",56.62,"2,837,478",11.38,"11,280,096","90,793,002",364.13,1-01043-0005,369 WEST 52 STREET,MIDTOWN WEST,D5  -ELEVATOR,48,1940,"37,030","2,096,639",56.62,"421,401",11.38,"1,675,238","12,232,000",330.33,0.05,1-01041-0038,306 WEST 51 STREET,MIDTOWN WEST,D3  -ELEVATOR,38,1945,"25,482","1,468,018",57.61,"391,658",15.37,"1,076,360","6,940,000",272.35,0.05,1-01046-0043,318 WEST 56 STREET,MIDTOWN WEST,D3  -ELEVATOR,68,1961,"54,400","3,010,496",55.34,"681,088",12.52,"2,329,408","9,155,000",168.29,0.2
1-00078-7507,1627-R1,111 WILLIAM STREET,FINANCIAL,R4  -ELEVATOR,73,1909,"89,994","4,809,279",53.44,"1,305,813",14.51,"3,503,466","28,198,996",313.34,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","537,632",49.85,"118,527",10.99,"419,105","2,279,000",211.31,0.74,1-00276-0022,53 MARKET STREET,LOWER EAST SIDE,C1  -WALK-UP,15,1921,"10,345","552,837",53.44,"150,106",14.51,"402,731","886,000",85.65,0.62,1-00274-0003,51 MONROE STREET,LOWER EAST SIDE,C4  -WALK-UP,20,1900,"9,910","571,609",57.68,"126,551",12.77,"445,058","1,839,000",185.57,0.74
1-01627-7501,1628-R1,158 EAST 100 STREET,HARLEM-EAST,R4  -ELEVATOR,12,2004,"6,342","263,256",41.51,"91,071",14.36,"172,185","1,385,998",218.54,1-01624-0021,155 EAST 96 STREET,HARLEM-EAST,D3  -ELEVATOR,40,1910,"37,065","1,585,270",42.77,"520,393",14.04,"1,064,877","3,845,000",103.74,0.15,1-01603-0025,53 EAST 97 STREET,UPPER EAST SIDE (96-110),D1  -ELEVATOR,24,1920,"27,500","1,141,525",41.51,"394,900",14.36,"746,625","5,017,000",182.44,0.22,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3  -ELEVATOR,48,2002,"52,520","2,141,766",40.78,"619,211",11.79,"1,522,555","4,413,000",84.03,0.33
1-00142-7502,1629-R1,200 CHAMBERS STREET,TRIBECA,R4  -ELEVATOR,311,2005,"314,373","17,743,212",56.44,"4,376,072",13.92,"13,367,140","107,590,964",342.24,1-00140-0005,121 READE STREET,TRIBECA,D6  -ELEVATOR,123,1997,"130,569","7,330,144",56.14,"2,060,379",15.78,"5,269,765","46,665,000",357.4,0.13,1-00016-0195,325 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,276,2004,"356,483","20,700,968",58.07,"5,357,939",15.03,"15,343,029","115,974,000",325.33,0.5,1-00016-0200,400 CHAMBERS STREET,TRIBECA,D8  -ELEVATOR,400,1998,"484,000","27,316,960",56.44,"6,737,280",13.92,"20,579,680","130,581,000",269.8,0.5
1-01090-7501,1630-R1,621 WEST 42 STREET,CLINTON,R4  -ELEVATOR,478,2005,"467,344","23,937,360",51.22,"7,206,444",15.42,"16,730,916","134,666,016",288.15,1-01075-0047,530 WEST 47 STREET,CLINTON,D3  -ELEVATOR,33,1999,"22,500","1,144,125",50.85,"377,550",16.78,"766,575","5,385,000",239.33,0.26,1-01053-0018,433 WEST 43 STREET,CLINTON,D3  -ELEVATOR,34,1900,"26,009","1,343,105",51.64,"334,476",12.86,"1,008,629","7,814,000",300.43,0.34,1-01053-0044,414 WEST 44 STREET,CLINTON,D1  -ELEVATOR,52,1930,"33,250","1,703,065",51.22,"512,715",15.42,"1,190,350","6,768,000",203.55,0.34
1-01184-7501,1631-R1,22 RIVERSIDE DRIVE,UPPER WEST SIDE (59-79),R4  -ELEVATOR,22,1931,"45,600","2,018,712",44.27,"792,072",17.37,"1,226,640","9,873,000",216.51,1-01126-0029,135 CENTRAL PARK WEST,UPPER WEST SIDE (59-79),D3  -ELEVATOR,64,1906,"217,281","9,438,687",43.44,"3,804,590",17.51,"5,634,097","79,730,000",366.94,0.48,1-01199-0029,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,68,1925,"128,194","5,722,580",44.64,"2,115,201",16.5,"3,607,379","27,826,000",217.06,0.73,1-01205-0029,315 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,43,1911,"109,769","4,859,474",44.27,"1,906,688",17.37,"2,952,786","13,863,000",126.29,0.98
1-01349-7502,1632-R1,330 EAST 57 STREET,MIDTOWN EAST,R4  -ELEVATOR,14,2005,"41,406","2,079,409",50.22,"527,512",12.74,"1,551,897","12,491,002",301.67,1-01332-0029,240 EAST 59 STREET,MIDTOWN EAST,D6  -ELEVATOR,167,1983,"324,212","16,281,927",50.22,"4,130,461",12.74,"12,151,466","75,203,000",231.96,0.18,1-01422-0021,1283 2 AVENUE,UPPER EAST SIDE (59-79),D6  -ELEVATOR,181,1973,"348,130","17,051,407",48.98,"4,020,902",11.55,"13,030,505","75,626,000",217.23,0.56,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","10,698,151",57.27,"2,955,208",15.82,"7,742,943","43,011,000",230.25,0.98
1-00515-7501,1633-R1,139 WOOSTER STREET,SOHO,R4  -ELEVATOR,16,2006,"37,591","2,303,952",61.29,"691,298",18.39,"1,612,654","12,979,996",345.3,1-00539-0037,159 BLEECKER STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,21,1920,"28,380","1,739,410",61.29,"521,908",18.39,"1,217,502","9,800,000",345.31,0.21,1-00558-0010,127 4 AVENUE,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,49,1930,"37,299","3,052,177",81.83,"869,440",23.31,"2,182,737","17,358,000",465.37,0.73,1-00174-0023,81 FRANKLIN STREET,CIVIC CENTER,D7  -ELEVATOR,12,1915,"25,738","1,492,289",57.98,"351,324",13.65,"1,140,965","9,182,000",356.75,0.63
1-02045-7501,1640-R1,68 BRADHURST AVENUE,HARLEM-CENTRAL,R4  -ELEVATOR,180,2005,"204,835","7,283,933",35.56,"3,525,210",17.21,"3,758,723","30,059,999",146.75,1-02053-0026,313 EDGECOMBE AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,93,1902,"84,833","2,878,384",33.93,"1,189,359",14.02,"1,689,025","7,054,000",83.15,0.15,1-02053-0101,400 WEST 150 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,30,1926,"45,234","1,656,469",36.62,"755,408",16.7,"901,061","2,407,000",53.21,0.15,1-02053-0009,267 EDGECOMBE AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,84,1920,"45,072","1,602,760",35.56,"775,689",17.21,"827,071","6,230,000",138.22,0.15
1-00807-7501,1641-R1,125 WEST 31 STREET,FASHION,RR  -CONRENT,365,2005,"341,960","20,616,768",60.29,"3,087,899",9.03,"17,528,869","141,089,000",412.59,1-00754-0031,313 WEST 30 STREET,FASHION,D1  -ELEVATOR,47,1987,"31,512","1,929,165",61.22,"391,379",12.42,"1,537,786","8,978,000",284.91,0.34,1-00754-0016,345 WEST 30 STREET,FASHION,D1  -ELEVATOR,37,1987,"25,657","1,546,861",60.29,"231,683",9.03,"1,315,178","7,403,000",288.54,0.34,1-00776-0020,229 WEST 26 STREET,CHELSEA,D9  -ELEVATOR,26,1925,"13,000","735,020",56.54,"138,840",10.68,"596,180","1,798,000",138.31,0.3
1-00807-7501,1641-R2,125 WEST 31 STREET,FASHION,R9  -CONDOPS,93,2005,"75,799","4,486,543",59.19,"959,615",12.66,"3,526,928","28,388,000",374.52,1-00754-0031,313 WEST 30 STREET,FASHION,D1  -ELEVATOR,47,1987,"31,512","1,894,817",60.13,"505,768",16.05,"1,389,049","8,978,000",284.91,0.34,1-00754-0016,345 WEST 30 STREET,FASHION,D1  -ELEVATOR,37,1987,"25,657","1,518,638",59.19,"324,818",12.66,"1,193,820","7,403,000",288.54,0.34,1-00776-0020,229 WEST 26 STREET,CHELSEA,D9  -ELEVATOR,26,1925,"13,000","720,850",55.45,"186,030",14.31,"534,820","1,798,000",138.31,0.3
1-01223-7503,1645-R1,100 WEST 93 STREET,UPPER WEST SIDE (79-96),R4  -ELEVATOR,279,1973,"246,842","6,556,124",26.56,"3,204,009",12.98,"3,352,115","26,118,985",105.81,1-01241-0038,204 WEST 94 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,30,1910,"17,760","471,706",26.56,"230,525",12.98,"241,181","3,293,000",185.42,0.13,1-01242-0128,203 WEST 94 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,24,1925,"22,800","624,036",27.37,"271,776",11.92,"352,260","3,318,000",145.53,0.16,1-01206-0010,55 WEST 92 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,55,1951,"55,535","1,474,454",26.55,"743,058",13.38,"731,396","5,395,000",97.15,0.17
