FY18/19 - CONDOMINIUM COMPARABLE PROPERTIES as of 01/05/2018  prepared on 02/01/2018,,,,,,,,,,,,,,,COMPARABLE RENTAL - 1,,,,,,,,,,,,,,,COMPARABLE RENTAL - 2,,,,,,,,,,,,,,,COMPARABLE RENTAL - 3,,,,,,,,,,,,,,
Boro-Block-Lot,Condominium,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles
1-00171-7501,0032-R1,356 BROADWAY,CHINATOWN,R4  -ELEVATOR,18,1915,"20,000","835,600",41.78,"158,200",7.91,"677,400","5,452,000",272.6,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","450,597",41.78,"85,309",7.91,"365,288","2,279,000",211.31,0.61,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1  -ELEVATOR,35,1910,"11,967","497,827",41.6,"119,790",10.01,"378,037","2,504,000",209.24,0.43,1-00479-0033,147 ELIZABETH STREET,LITTLE ITALY,D9  -ELEVATOR,22,1900,"9,293","415,211",44.68,"94,789",10.2,"320,422","1,438,000",154.74,0.48
1-01577-7501,0033-R1,520 EAST 81 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,164,1964,"103,108","5,004,862",48.54,"2,055,974",19.94,"2,948,888","23,735,000",230.2,1-01576-0049,1510 YORK AVENUE,UPPER EAST SIDE (79-96),D1  -ELEVATOR,24,1937,"22,902","1,149,222",50.18,"417,045",18.21,"732,177","4,750,000",207.41,0.05,1-01579-0002,1556 YORK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,30,1920,"18,852","831,939",44.13,"282,969",15.01,"548,970","5,139,000",272.6,0.1,1-01579-0011,515 EAST 82 STREET,UPPER EAST SIDE (79-96),D9  -ELEVATOR,20,1910,"11,928","578,985",48.54,"237,844",19.94,"341,141","3,294,000",276.16,0.1
1-01491-7502,0035-R1,988 5 AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,13,1926,"50,888","2,391,736",47,"613,709",12.06,"1,778,027","14,311,000",281.23,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","7,120,804",45.78,"1,947,411",12.52,"5,173,393","37,340,000",240.06,0.11,1-01517-0001,1085 PARK AVENUE,UPPER EAST SIDE (79-96),D6  -ELEVATOR,46,1926,"127,395","5,987,565",47,"1,536,384",12.06,"4,451,181","42,329,000",332.27,0.5,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","9,756,668",52.23,"3,022,456",16.18,"6,734,212","43,011,000",230.25,0.35
1-01212-7501,0036-R1,101 WEST 81 STREET,UPPER WEST SIDE (79-96),R9  -CONDOPS,134,1900,"148,751","6,133,004",41.23,"1,939,713",13.04,"4,193,291","33,752,000",226.9,1-01211-0052,158 WEST 81 STREET,UPPER WEST SIDE (79-96),D3  -ELEVATOR,37,1930,"37,251","1,535,859",41.23,"485,753",13.04,"1,050,106","5,881,000",157.87,0.05,1-01214-0008,165 WEST 83 STREET,UPPER WEST SIDE (79-96),D3  -ELEVATOR,36,1912,"36,512","1,495,166",40.95,"488,896",13.39,"1,006,270","4,116,000",112.73,0.1,1-01229-0039,208 WEST 82 STREET,UPPER WEST SIDE (79-96),D2  -ELEVATOR,20,1910,"10,370","435,955",42.04,"115,314",11.12,"320,641","3,633,000",350.34,0.13
1-01370-7501,0037-R1,40 SUTTON PLACE,MIDTOWN EAST,R4  -ELEVATOR,75,1981,"61,175","2,892,354",47.28,"734,712",12.01,"2,157,642","17,366,997",283.89,1-01369-0037,422 EAST 58 STREET,MIDTOWN EAST,D3  -ELEVATOR,24,1939,"18,654","795,966",42.67,"225,154",12.07,"570,812","3,700,000",198.35,0.05,1-01350-0035,330 EAST 58 STREET,MIDTOWN EAST,D1  -ELEVATOR,34,1939,"30,225","1,429,038",47.28,"363,002",12.01,"1,066,036","5,649,000",186.9,0.15,1-01347-0034,342 EAST 55 STREET,MIDTOWN EAST,D5  -ELEVATOR,26,1930,"13,000","670,410",51.57,"189,150",14.55,"481,260","3,250,000",250,0.25
1-00557-7501,0039-R1,806 BROADWAY,GREENWICH VILLAGE-CENTRAL,R9  -CONDOPS,65,1900,"83,089","2,927,225",35.23,"865,787",10.42,"2,061,438","16,499,000",198.57,1-00563-0043,63 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,42,1970,"23,353","822,726",35.23,"243,338",10.42,"579,388","6,807,000",291.48,0.1,1-00558-0044,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,69,1900,"41,750","1,465,008",35.09,"599,113",14.35,"865,895","13,110,000",314.01,0.1,1-00558-0018,122 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,16,1900,"10,225","361,147",35.32,"147,240",14.4,"213,907","2,445,000",239.12,0.1
1-00936-7501,0040-R1,333 EAST 30 STREET,KIPS BAY,R4  -ELEVATOR,1121,1962,"1,171,064","42,251,989",36.08,"18,444,258",15.75,"23,807,731","190,858,854",162.98,1-00835-0001,1282 BROADWAY,FASHION,D6  -ELEVATOR,697,1912,"886,042","33,669,596",38,"12,812,167",14.46,"20,857,429","265,453,000",299.59,0.69,1-01373-0030,510 MAIN STREET,ROOSEVELT ISLAND,D6  -ELEVATOR,1017,1969,"804,200","27,471,472",34.16,"13,695,526",17.03,"13,775,946","152,416,000",189.52,1.9, , , , , , , , , , , , , , , 
1-01577-7502,0045-R1,525 EAST 80 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,68,1981,"137,403","5,966,038",43.42,"1,860,437",13.54,"4,105,601","33,046,005",240.5,1-01582-0031,544 EAST 86 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,32,1929,"74,396","3,230,274",43.42,"1,007,322",13.54,"2,222,952","19,501,000",262.12,0.25,1-01517-0001,1085 PARK AVENUE,UPPER EAST SIDE (79-96),D6  -ELEVATOR,46,1926,"127,395","5,570,983",43.73,"1,414,085",11.1,"4,156,898","42,329,000",332.27,0.73,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","6,612,175",42.51,"1,799,644",11.57,"4,812,531","37,340,000",240.06,0.72
1-01389-7501,0050-R1,23 EAST 74 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,72,1912,"82,280","3,695,195",44.91,"1,431,672",17.4,"2,263,523","18,219,000",221.43,1-01408-0007,109 EAST 73 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,17,1920,"12,144","564,939",46.52,"186,046",15.32,"378,893","2,643,000",217.64,0.2,1-01393-0040,74 EAST 79 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,42,1899,"62,472","2,641,941",42.29,"989,556",15.84,"1,652,385","19,067,000",305.21,0.22,1-01406-0007,115 EAST 71 STREET,UPPER EAST SIDE (59-79),D1  -ELEVATOR,30,1966,"17,930","805,236",44.91,"311,982",17.4,"493,254","3,992,000",222.64,0.25
1-01389-7501,0050-R2,21 EAST 74 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,6,1912,"6,345","325,625",51.32,"85,975",13.55,"239,650","1,929,000",304.02,1-01393-0040,74 EAST 79 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,42,1899,"62,472","3,805,794",60.92,"1,437,481",23.01,"2,368,313","19,067,000",305.21,0.22,1-01406-0007,115 EAST 71 STREET,UPPER EAST SIDE (59-79),D1  -ELEVATOR,30,1966,"17,930","863,150",48.14,"367,206",20.48,"495,944","3,992,000",222.64,0.25,1-01411-0031,191 EAST 76 STREET,UPPER EAST SIDE (59-79),D5  -ELEVATOR,40,1960,"24,206","1,242,252",51.32,"327,991",13.55,"914,261","7,358,000",303.97,0.3
